locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof,address
Vasai East,Mumbai,north,none,Kandarpada,no,Mindspace Malad,26.16,yellow,18.22,no,no,True,Kashigaon,16.71,6km+,0.0,Nalla Sopara,0.75,36.76,2.0,42.0,6.0,19.4188363,72.8256898,53.39,Vasai-Virar,Maharashtra,1,6/4/2022,6/4/2022,low,Nallasopara East,place/suburb,Vasai East,2022,4/13/2022,"Nicon Infinity, Vasai East"
LBS Marg,Mumbai,east,none,Aarey,yes,Wagle Estate Thane,3.97,red,8.11,no,no,True,Aarey JVLR,6.69,3-6km,3.0,Nahur,1.67,11.38,40.0,50.0,7.0,19.1657241,72.9359176,27.36,T Ward,Maharashtra,2,5/22/2022,7/9/2022,high,Nirmal Lifestyle,place/neighbourhood,Nirmal Lifestyle,2022,4/13/2022,"Nirmal Lifestyle, LBS Marg"
Agarkar Chowk,Mumbai,west,operational,Andheri L1,yes,SEEPZ Andheri East,0.71,blue,0.15,yes,yes,True,Andheri L1,0.15,0-3km,15.0,Andheri,0.22,3.57,42.0,97.0,6.0,19.1192278,72.84849,20.11,K/E Ward,Maharashtra,1,5/29/2022,5/29/2022,medium,Agarkar Chowk,highway/bus_stop,Agarkar Chowk,2022,4/13/2022,"Oberoi Prisma, Agarkar Chowk"
JVLR-Jogeshwari Vikhroli Link Road,Mumbai,north,under_construction,Andheri L1,yes,Nirlon Knowledge Park,1.99,blue,2.78,yes,no,False,Jogeshwari (East),1.04,0-3km,15.0,Jogeshwari (Harbour Line),1.61,5.6,12.0,42.0,3.0,19.1404894,72.8647504,22.64,Jogeshwari East,Maharashtra,3,5/17/2022,7/6/2022,medium,Oberoi Splendor,landuse/residential,Oberoi Splendor JVLR-Jogeshwari Vikhroli Link Road,2022,4/13/2022,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road"
Kurar Village,Mumbai,north,operational,Dindoshi,yes,Mindspace Malad,2.06,red,0.47,yes,yes,True,Dindoshi,0.47,0-3km,3.0,Malad,1.34,10.35,19.0,85.0,6.0,19.1832505,72.8608353,27.31,P/N Ward,Maharashtra,2,7/4/2022,7/4/2022,medium,Omkar Alta Monte,landuse/residential,Omkar Alta Monte,2022,4/13/2022,"Omkar Alta Monte, Kurar Village"
Opera House,Mumbai,south,none,Ghatkopar L1,yes,Lower Parel Business District,4.03,blue,8.74,no,no,True,Dadar,2.66,3-6km,4.0,Acharya Atre Nagar,0.42,7.81,52.0,48.0,4.0,19.0199105,72.8641759,9.51,F/N Ward,Maharashtra,1,6/16/2022,6/16/2022,medium,Janak House Co-operative Society,landuse/residential,Opera House,2022,4/13/2022,Opera House
orchid suburbia,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.89,yellow,0.34,yes,yes,True,Dahanukarwadi,0.34,0-3km,0.0,Kandivali,1.88,13.57,25.0,74.0,11.0,19.2092686,72.8347072,30.07,R/S Ward,Maharashtra,1,6/27/2022,6/27/2022,low,Orchid Suburbia,building/apartments,orchid suburbia,2022,4/13/2022,orchid suburbia
Bander Pakhadi,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.89,yellow,0.34,yes,yes,True,Dahanukarwadi,0.34,0-3km,0.0,Kandivali,1.88,13.57,25.0,74.0,11.0,19.2092686,72.8347072,30.07,R/S Ward,Maharashtra,1,5/25/2022,5/25/2022,low,Orchid Suburbia,building/apartments,Orchid Suburbia,2022,4/13/2022,"Orchid Suburbia, Bander Pakhadi"
Oshiwara,Mumbai,west,operational,Andheri (West),yes,Nirlon Knowledge Park,2.07,yellow,2.37,yes,yes,True,Oshiwara,0.47,0-3km,11.0,Ram Mandir,1.67,7.33,24.0,51.0,16.0,19.1502437,72.8342294,23.51,K/W Ward,Maharashtra,3,5/27/2022,6/14/2022,high,Oshiwara,place/suburb,Oshiwara,2022,4/13/2022,Oshiwara
Pant Nagar,Mumbai,east,operational,Ghatkopar L1,yes,Godrej One Vikhroli,3.01,blue,0.52,yes,yes,True,Ghatkopar L1,0.52,3-6km,11.0,Ghatkopar,0.42,5.16,12.0,86.0,9.0,19.0833305,72.9115042,17.95,N Ward,Maharashtra,1,6/23/2022,6/23/2022,high,Pant Nagar,place/neighbourhood,Pant Nagar,2022,4/13/2022,Pant Nagar
parivar safalya chs,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,0.84,blue,12.91,yes,no,False,Science Centre,1.23,0-3km,2.0,Lower Parel,0.18,11.0,29.0,41.0,6.0,18.9956287,72.831957,6.33,G/S Ward,Maharashtra,1,6/20/2022,6/20/2022,medium,Safalya CHS,landuse/residential,parivar safalya chs,2022,4/13/2022,parivar safalya chs
Parle Colony,Mumbai,west,under_construction,Western Express Highway,yes,SEEPZ Andheri East,3.14,blue,3.26,yes,no,False,CSMI Airport Domestic T1,1.53,3-6km,14.0,Vile Parle,1.07,2.49,36.0,65.0,10.0,19.091444,72.8392374,16.98,K/W Ward,Maharashtra,1,6/24/2022,6/24/2022,medium,JEEVAN SHANTI COLONY,landuse/residential,Parle Colony,2022,4/13/2022,Parle Colony
Parmanand Wadi,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.77,blue,11.53,yes,no,False,Siddhivinayak Temple,2.4,0-3km,3.0,Ambedkar Nagar,0.31,10.1,27.0,44.0,0.0,19.0005743,72.8469378,6.98,F/S Ward,Maharashtra,1,6/28/2022,6/28/2022,high,Parmanand Wadi,place/neighbourhood,Parmanand Wadi,2022,4/13/2022,Parmanand Wadi
Peddar Road,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,4.2,blue,16.54,yes,no,False,Grant Road,1.23,3-6km,1.0,Mumbai Central,1.04,14.41,48.0,56.0,5.0,18.970786,72.8095082,4.48,D Ward,Maharashtra,1,6/12/2022,6/12/2022,low,Gopalrao Deshmukh Marg,highway/primary,Peddar Road,2022,4/13/2022,Peddar Road
Perry Rd,Mumbai,west,none,Western Express Highway,yes,Bandra Kurla Complex,4.46,blue,7.1,no,no,True,Bandra Colony,2.89,3-6km,6.0,Bandra,1.79,5.3,32.0,43.0,5.0,19.0598893,72.8239685,13.52,Bandra West,Maharashtra,1,6/29/2022,6/29/2022,medium,Perry Cross Rd,highway/bus_stop,Perry Rd,2022,4/13/2022,Perry Rd
Poisar,Mumbai,north,operational,Kandivali (West),yes,Mindspace Malad,3.16,yellow,1.03,yes,yes,True,Kandivali (West),1.03,3-6km,0.0,Kandivali,1.01,13.64,12.0,91.0,10.0,19.2119251,72.8468858,30.39,R/S Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Poisar,place/quarter,Poisar,2022,4/13/2022,Poisar
Madh,Mumbai,west,none,Versova,no,Nirlon Knowledge Park,6.74,blue,3.2,no,no,True,Versova,3.2,6km+,2.0,Jogeshwari (Western Line),6.0,9.13,0.0,1.0,1.0,19.1375285,72.7918857,22.57,K/W Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Madh,place/suburb,Madh,2022,4/13/2022,"Raheja Exotica Sorento, Madh"
BMC Colony Malad East,Mumbai,north,operational,Dindoshi,yes,Mindspace Malad,2.69,red,0.84,yes,yes,True,Dindoshi,0.84,0-3km,3.0,Malad,2.1,9.66,14.0,60.0,5.0,19.1769668,72.8657407,26.67,P/N Ward,Maharashtra,1,5/31/2022,5/31/2022,medium,B.E.S.T Staff querters colony,landuse/residential,BMC Colony Malad East,2022,4/13/2022,"Raheja Heights, BMC Colony Malad East"
Vikhroli West,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,1.13,blue,3.5,no,no,True,Jagruti Nagar,3.5,0-3km,11.0,Vikhroli,0.42,7.13,19.0,26.0,20.0,19.114541,72.9257184,21.73,S Ward,Maharashtra,2,6/3/2022,7/6/2022,high,Vikhroli West,place/suburb,Vikhroli West,2022,4/13/2022,"Raj Legacy, Vikhroli West"
Rambaug,Mumbai,north,operational,Shimpoli,yes,Mindspace Malad,3.85,yellow,1.35,yes,yes,True,Shimpoli,1.35,3-6km,0.0,Borivali,1.44,14.16,17.0,112.0,17.0,19.2170731,72.8522143,30.99,R/C Ward,Maharashtra,1,7/7/2022,7/7/2022,low,RamBaug Lane,highway/residential,Rambaug,2022,4/13/2022,Rambaug
Reay road east,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,3.18,blue,13.88,yes,no,False,Mahalaxmi,1.98,3-6km,1.0,Reay Road,0.0,12.68,22.0,28.0,0.0,18.9775506,72.8441011,4.4,E Ward,Maharashtra,1,5/22/2022,5/22/2022,medium,Reay Road,railway/station,Reay road east,2022,4/13/2022,Reay road east
Rock garden Chs,Mumbai,east,none,Ghatkopar L1,yes,Belapur CBD,5.92,blue,17.04,no,no,True,CBD Belapur,6.14,3-6km,0.0,Baman-Dongri,1.14,20.71,3.0,0.0,0.0,18.9711007,73.0144819,19.17,Ulwe,Maharashtra,1,6/27/2022,6/27/2022,medium,Garden CHS,landuse/residential,Rock garden Chs,2022,4/13/2022,Rock garden Chs
Old Khar,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.01,blue,6.09,yes,no,False,Bandra Colony,1.43,3-6km,7.0,Bandra Terminus,0.46,3.95,47.0,67.0,10.0,19.0642094,72.8372017,13.95,H/W Ward,Maharashtra,1,5/26/2022,5/26/2022,medium,Old Khar,highway/bus_stop,Old Khar,2022,4/13/2022,"Rose Queen, Old Khar"
Gomant Nagar,Mumbai,east,operational,Airport Road,yes,MIDC Andheri East,0.88,blue,1.52,yes,yes,True,SEEPZ,0.74,0-3km,18.0,Andheri,3.52,4.03,10.0,43.0,6.0,19.1227165,72.8798055,20.98,K/E Ward,Maharashtra,1,5/19/2022,5/19/2022,low,Nav Gomantak,amenity/restaurant,Gomant Nagar,2022,4/13/2022,"Rustomjee Regency, Gomant Nagar"
Shantivan,Mumbai,east,none,Ghatkopar L1,no,Belapur CBD,14.41,blue,29.08,no,no,True,Pendhar,9.94,6km+,0.0,Chikhale,5.96,33.78,1.0,0.0,0.0,19.0222244,73.1761645,37.01,,Maharashtra,1,7/7/2022,7/7/2022,high,Shantivan,place/village,Shantivan,2022,4/13/2022,"Saaga Mrunali CHS, Shantivan"
Saki Vihar Road,Mumbai,east,under_construction,Marol Naka L1,yes,Hiranandani Business Park Powai,2.72,blue,3.27,yes,no,False,Aarey JVLR,1.32,0-3km,14.0,Kanjur Marg,3.32,5.91,6.0,5.0,4.0,19.1326946,72.8966869,22.5,S Ward,Maharashtra,1,7/7/2022,7/7/2022,low,Saki Vihar Road,highway/secondary,Saki Vihar Road,2022,4/13/2022,Saki Vihar Road
Serenity Complex,Mumbai,west,operational,Andheri (West),yes,Nirlon Knowledge Park,2.2,yellow,2.15,yes,yes,True,Oshiwara,0.26,0-3km,12.0,Ram Mandir,1.77,7.17,25.0,52.0,17.0,19.1483881,72.8335529,23.31,K/W Ward,Maharashtra,1,4/28/2022,4/28/2022,medium,Serenity Complex,landuse/residential,Serenity Complex,2022,4/13/2022,Serenity Complex
Irani Wada,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,1.81,yellow,1.01,yes,yes,True,Valnai-Meeth Chowky,0.96,0-3km,1.0,Kandivali,1.09,12.44,27.0,102.0,11.0,19.2002901,72.8421432,29.09,R/S Ward,Maharashtra,1,7/4/2022,7/4/2022,low,Irani Wadi Road,highway/residential,Irani Wada,2022,4/13/2022,"Sethia Kalpavruksh Heights, Irani Wada"
shabri shan,Mumbai,east,none,Ghatkopar L1,yes,Vashi Business District,1.81,blue,10.14,no,no,True,Pethpada,8.17,0-3km,9.0,Koparkhairne,1.69,14.88,23.0,33.0,12.0,19.0894691,73.0044869,24.43,Kopar Khairne,Maharashtra,1,6/13/2022,6/13/2022,medium,Shabi Complex,landuse/residential,shabri shan,2022,4/13/2022,shabri shan
shanti kutir tunga village powai,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,4/29/2022,4/29/2022,none,,,,2022,4/13/2022,shanti kutir tunga village powai
Sher E Punjab Society,Mumbai,north,operational,Western Express Highway,yes,SEEPZ Andheri East,1.59,blue,1.47,yes,yes,True,Mogra,0.77,0-3km,16.0,Jogeshwari (Western Line),1.73,4.17,14.0,71.0,3.0,19.1276887,72.8627819,21.2,K/E Ward,Maharashtra,2,5/14/2022,5/31/2022,high,Sher e Punjab Colony,place/neighbourhood,Sher E Punjab Society,2022,4/13/2022,Sher E Punjab Society
Sion Koliwada,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,2.94,blue,6.88,yes,no,False,Dharavi,1.64,0-3km,6.0,Guru Tegh Bahadur Nagar,0.3,5.5,41.0,45.0,5.0,19.0407302,72.8642303,11.73,F/N Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Sion Koliwada,place/neighbourhood,Sion Koliwada,2022,4/13/2022,"Sheth Beaumonte, Sion Koliwada"
Shilphata,Mumbai,east,none,Ghatkopar L1,yes,Millennium Business Park Mahape,4.77,blue,15.79,no,no,True,Sector-34,8.71,3-6km,9.0,Nilaje,3.83,20.1,1.0,0.0,0.0,19.1440528,73.0455731,31.76,Shill Phata,Maharashtra,1,5/19/2022,5/19/2022,medium,Shil Phata,highway/bus_stop,Shilphata,2022,4/13/2022,Shilphata
Shivaji Park,Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,3.01,blue,9.54,yes,no,False,Dadar,0.57,3-6km,6.0,Matunga Road,0.8,7.27,72.0,73.0,11.0,19.0287453,72.8391613,10.01,G/N Ward,Maharashtra,2,5/23/2022,5/27/2022,high,Shivaji Park,place/neighbourhood,Shivaji Park,2022,4/13/2022,Shivaji Park
shivsagar,Mumbai,east,operational,Marol Naka L1,yes,MIDC Andheri East,1.93,blue,1.08,yes,yes,True,CSMI Airport International T2,0.26,0-3km,20.0,Vile Parle,3.14,1.59,10.0,33.0,6.0,19.1000164,72.8739181,18.38,K/E Ward,Maharashtra,1,5/4/2022,5/4/2022,low,Shivsagar,amenity/restaurant,shivsagar,2022,4/13/2022,shivsagar
Shri Swami Samarth Nagar,Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,3.39,blue,1.1,yes,yes,True,Lower Oshiwara,0.67,3-6km,9.0,Jogeshwari (Western Line),2.49,6.73,32.0,68.0,20.0,19.1393123,72.8255143,22.32,K/W Ward,Maharashtra,1,5/31/2022,5/31/2022,medium,Swami Samarth Nagar,highway/bus_stop,Shri Swami Samarth Nagar,2022,4/13/2022,Shri Swami Samarth Nagar
Shrikrupa Society,Mumbai,east,none,Ghatkopar L1,yes,Vashi Business District,0.74,blue,9.65,no,no,True,Mandale,7.3,0-3km,9.0,Sanpada,1.97,14.41,22.0,26.0,13.0,19.0809993,72.9996683,23.41,Vashi,Maharashtra,1,4/29/2022,4/29/2022,medium,Shivkrupa CO-OP Housing Society,landuse/residential,Shrikrupa Society,2022,4/13/2022,Shrikrupa Society
Napean Sea Road,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,4.47,blue,17.29,yes,no,False,Grant Road,1.17,3-6km,1.0,Grant Road,0.94,15.2,50.0,61.0,5.0,18.9641018,72.8069141,4.11,D Ward,Maharashtra,1,6/24/2022,6/24/2022,low,Laxmibai Jagmohandas Marg,highway/secondary,Napean Sea Road,2022,4/13/2022,"simla house at nepeasea road, Napean Sea Road"
Sion,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,2.7,blue,6.63,yes,no,False,Dharavi,1.69,0-3km,6.0,Sion,0.47,5.27,35.0,42.0,3.0,19.0428153,72.8653563,11.99,F/N Ward,Maharashtra,3,5/27/2022,6/29/2022,high,Sion East,place/suburb,Sion,2022,4/13/2022,Sion
Sion Hospital Colony,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.67,blue,7.79,yes,no,False,Dharavi,1.55,3-6km,6.0,King's Circle,0.36,6.17,76.0,67.0,6.0,19.0348427,72.8582305,10.95,F/N Ward,Maharashtra,1,6/2/2022,6/2/2022,low,Sion Hospital,amenity/hospital,Sion Hospital Colony,2022,4/13/2022,Sion Hospital Colony
Bhandari Compound,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,4.02,blue,16.34,yes,no,False,Grant Road,0.61,3-6km,1.0,Grant Road,0.84,14.7,63.0,89.0,7.0,18.9632231,72.8238048,2.98,D Ward,Maharashtra,1,7/4/2022,7/4/2022,medium,Sonawala Apartment,landuse/residential,Sonal Apartment,2022,4/13/2022,"Sonal Apartment, Bhandari Compound"
sra,Mumbai,east,none,Jagruti Nagar,yes,Wagle Estate Thane,3.83,blue,10.12,no,no,True,Azad Nagar Bus Stop,8.72,3-6km,12.0,Mulund,0.85,13.18,33.0,67.0,10.0,19.1651611,72.9600894,28.38,T Ward,Maharashtra,1,5/5/2022,5/5/2022,medium,SRA Building,landuse/residential,sra,2022,4/13/2022,sra
Srinagarchs chembur west near sankralyammandir,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,5/18/2022,5/18/2022,none,,,,2022,4/13/2022,Srinagarchs chembur west near sankralyammandir
Srishti Complex,Mumbai,north,operational,Anand Nagar,no,Mindspace Malad,10.11,yellow,1.58,yes,yes,True,Miragaon,1.28,6km+,0.0,Mira Road,1.75,20.14,10.0,29.0,7.0,19.2712357,72.8685277,37.13,Kashimira,Maharashtra,1,6/10/2022,6/10/2022,medium,Srishti Complex Sector 2,landuse/residential,Srishti Complex,2022,4/13/2022,Srishti Complex
Bhandup Industrial Estate,Mumbai,east,none,Saki Naka,yes,Wagle Estate Thane,4.75,blue,7.8,no,no,True,Aarey JVLR,6.02,3-6km,3.0,Nahur,1.55,10.64,33.0,48.0,7.0,19.1594258,72.9327693,26.58,S Ward,Maharashtra,1,7/6/2022,7/6/2022,low,Dharamraj Industrial Estate,landuse/industrial,Bhandup Industrial Estate,2022,4/13/2022,"Srishti Solitaire, Bhandup Industrial Estate"
Chikhal Dongari,Mumbai,north,none,Kandarpada,no,Mindspace Malad,31.85,yellow,24.07,no,no,True,Kashigaon,22.77,6km+,0.0,Virar,1.9,42.51,3.0,19.0,6.0,19.4676701,72.7992421,58.93,Virar West,Maharashtra,1,7/2/2022,7/2/2022,low,SUMIT GREENDALE,landuse/residential,Sumit Greendale,2022,4/13/2022,"Sumit Greendale, Chikhal Dongari"
sunanda circal,Mumbai,east,none,Ghatkopar L1,no,Mindspace Airoli,6.22,blue,17.6,no,no,True,Sector-34,9.02,6km+,0.0,Nilaje,2.09,21.88,2.0,3.0,0.0,19.1522686,73.0605589,33.52,Shill Phata,Maharashtra,1,6/28/2022,6/28/2022,medium,Sunanda Circle,landuse/residential,sunanda circal,2022,4/13/2022,sunanda circal
Suram Park Society,Mumbai,north,none,Kandarpada,no,Mindspace Malad,31.01,yellow,23.09,no,no,True,Kashigaon,21.53,6km+,0.0,Virar,0.92,41.62,3.0,29.0,6.0,19.4619183,72.8170739,58.2,Virar East,Maharashtra,1,5/18/2022,5/18/2022,low,Suram Park Society Parshwanath Building,building/yes,Suram Park Society,2022,4/13/2022,Suram Park Society
Poonam Gardens,Mumbai,north,none,Kandarpada,no,Mindspace Malad,12.25,yellow,4.14,no,no,True,Kashigaon,3.58,6km+,0.0,Mira Road,1.46,22.69,9.0,56.0,5.0,19.293845,72.8507199,39.51,Bhayander West,Maharashtra,1,5/31/2022,5/31/2022,low,"Swayam Apartments, Panchratna Complex",building/yes,Swayam Apartment,2022,4/13/2022,"Swayam Apartment, Poonam Gardens"
Taloja Phase 2,Mumbai,east,none,Ghatkopar L1,no,Millennium Business Park Mahape,11.86,blue,23.58,no,no,True,Panchanand,9.89,6km+,0.0,Nilaje,4.09,27.98,1.0,1.0,0.0,19.1594601,73.1189255,38.6,Palava Phase 2,Maharashtra,1,6/4/2022,6/4/2022,medium,Lodha Crown Taloja,landuse/residential,Taloja Phase 2,2022,4/13/2022,Taloja Phase 2
Tata Nagar,Mumbai,east,under_construction,Ghatkopar L1,yes,Godrej One Vikhroli,5.88,blue,3.98,yes,no,False,Deonar,0.9,3-6km,4.0,Govandi,0.58,7.29,38.0,44.0,19.0,19.0526286,72.9197627,15.46,M/E Ward,Maharashtra,1,7/1/2022,7/1/2022,high,Tata Nagar,place/neighbourhood,Tata Nagar,2022,4/13/2022,Tata Nagar
Thane-Kalyan-Dombivli,Mumbai,east,none,Dahisar (East) [Line 7],no,Mindspace Airoli,16.58,yellow,28.37,no,no,True,Azad Nagar Bus Stop,16.34,6km+,1.0,Kalyan Junction,0.75,33.21,4.0,70.0,1.0,19.2396742,73.1366482,46.06,Kalyan-Dombivli,Maharashtra,3,5/23/2022,5/31/2022,low,Kalyan,place/borough,Thane-Kalyan-Dombivli,2022,4/13/2022,Thane-Kalyan-Dombivli
Kemps Corner,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,4.44,blue,17.32,yes,no,False,Grant Road,1.18,3-6km,1.0,Grant Road,0.94,15.24,50.0,61.0,5.0,18.9637535,72.8068617,4.09,D Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Kemps Corner,place/locality,Kemps Corner,2022,4/13/2022,"The Primordial House, Kemps Corner"
Tilak Nagar - Harbour Line,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.21,blue,7.06,yes,no,False,Dharavi,1.79,3-6km,6.0,Guru Tegh Bahadur Nagar,0.04,5.77,46.0,45.0,5.0,19.0383119,72.8645817,11.48,F/N Ward,Maharashtra,2,7/2/2022,7/6/2022,low,Harbour Line,railway/platform,Tilak Nagar - Harbour Line,2022,4/13/2022,Tilak Nagar - Harbour Line
Union Park,Mumbai,west,none,Western Express Highway,yes,Bandra Kurla Complex,4.37,blue,5.93,no,no,True,Santacruz,2.52,3-6km,5.0,Khar Road,1.69,4.52,33.0,43.0,7.0,19.0718905,72.8244456,14.84,H/W Ward,Maharashtra,2,5/16/2022,5/23/2022,high,Union Park,place/neighbourhood,Union Park,2022,4/13/2022,Union Park
Bhuleshwar,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,2.99,blue,17.04,yes,no,False,Girgaon,0.58,0-3km,0.0,Marine Lines,0.97,15.62,48.0,68.0,6.0,18.9537706,72.8274755,1.86,C Ward,Maharashtra,1,6/4/2022,6/4/2022,high,Bhuleshwar,place/suburb,Bhuleshwar,2022,4/13/2022,"Universal Neo Galaxy, Bhuleshwar"
Magathane,Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.53,red,0.0,yes,yes,True,Magathane,0.0,3-6km,0.0,Borivali,1.69,14.09,6.0,65.0,15.0,19.2167968,72.8668012,31.09,R/C Ward,Maharashtra,1,5/14/2022,5/14/2022,medium,Magathane,railway/station,Magathane,2022,4/13/2022,"Vasant Marvel, Magathane"
Vikhroli,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,1.13,blue,3.5,no,no,True,Jagruti Nagar,3.5,0-3km,11.0,Vikhroli,0.42,7.13,19.0,26.0,20.0,19.114541,72.9257184,21.73,S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Vikhroli West,place/suburb,Vikhroli,2022,4/13/2022,Vikhroli
Vile Parle,Mumbai,west,operational,Andheri L1,yes,SEEPZ Andheri East,1.98,blue,2.06,yes,yes,True,CSMI Airport Domestic T1,1.78,0-3km,14.0,Vile Parle,0.59,2.83,35.0,90.0,9.0,19.103908,72.840301,18.37,K/W Ward,Maharashtra,1,4/29/2022,4/29/2022,high,Vile Parle West,place/suburb,Vile Parle,2022,4/13/2022,Vile Parle
Vile Parle East,Mumbai,west,operational,Western Express Highway,yes,SEEPZ Andheri East,1.94,blue,2.05,yes,yes,True,CSMI Airport Domestic T1,1.05,0-3km,16.0,Vile Parle,0.22,2.09,30.0,78.0,7.0,19.1002241,72.8461146,17.98,K/E Ward,Maharashtra,2,6/4/2022,6/15/2022,medium,Vile Parle Station (E),highway/bus_stop,Vile Parle East,2022,4/13/2022,Vile Parle East
Virar,Mumbai,north,none,Kandarpada,no,Mindspace Malad,29.71,yellow,21.85,no,no,True,Kashigaon,20.43,6km+,0.0,Virar,0.61,40.35,3.0,40.0,3.0,19.4497996,72.8120613,56.87,Vasai-Virar,Maharashtra,1,6/28/2022,6/28/2022,low,Virar,place/borough,Virar,2022,4/13/2022,Virar
Walkeshwar,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,3.5,blue,18.52,yes,no,False,Grant Road,1.91,3-6km,0.0,Charni Road,1.51,16.52,26.0,44.0,2.0,18.9524203,72.8038935,3.64,D Ward,Maharashtra,1,6/30/2022,6/30/2022,high,Walkeshwar,place/locality,Walkeshwar,2022,4/13/2022,Walkeshwar
Yashodham,Mumbai,north,operational,Aarey,yes,Mindspace Malad,1.94,red,0.52,yes,yes,True,Aarey,0.52,0-3km,5.0,Goregaon,1.01,9.18,16.0,88.0,6.0,19.1723644,72.8550274,26.05,P/S Ward,Maharashtra,1,5/12/2022,5/12/2022,high,Yashodham,place/neighbourhood,Yashodham,2022,4/13/2022,Yashodham
